{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.065186, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.062695, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '29.00', 'hum': '32.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.062695, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.062695, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.062695, 'MQ-2': '25', 'temp': '29.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.062695, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.062695, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '29.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '29.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.063525, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '41', 'pm2.5': 0.063525, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066846, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066846, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066846, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066846, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '29.00', 'hum': '32.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '29.00', 'hum': '32.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.065186, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '29.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '29.00', 'hum': '32.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '29.00', 'hum': '32.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '29.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '29.00', 'hum': '32.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.064355, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '29.00', 'hum': '32.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '25', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066846, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066846, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
{'MQ-5': '42', 'pm2.5': 0.065186, 'MQ-2': '25', 'temp': '28.00', 'hum': '34.00'}
{'MQ-5': '43', 'pm2.5': 0.066016, 'MQ-2': '26', 'temp': '28.00', 'hum': '33.00'}
